R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Womens Flyweight_rank,R_Womens Featherweight_rank,R_Womens Strawweight_rank,R_Womens Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Womens Flyweight_rank,B_Womens Featherweight_rank,B_Womens Strawweight_rank,B_Womens Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,fight_id
Alejandro Perez,Johnny Eduardo,-300,235,33.33333333,235,10/2/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,2,0,0,2.95,0.39,0.4,0.22,0.2,2,4,14,0,0,0,1,2,0,0,3,Orthodox,170.18,180.34,135,2,0,1,3.45,0.35,0.4,0.61,0.23,4,3,25,0,0,1,3,3,0,0,7,Orthodox,167.64,165.1,145,32,43,0,0,-2,-4,1,-11,0,-1,0,2.54,15.24,11,-0.5,0,-0.39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,2,4:13,553,250,600,650,900,130,175,4886
Alexander Volkanovski,Brian Ortega,-180,155,55.55555556,155,9/25/2021,"Las Vegas, Nevada, USA",USA,Red,TRUE,Featherweight,MALE,5,0,1,0,4.15,0.38,1.2,0.87,0.24,6,1,25,1,0,0,1,3,3,0,7,Switch,172.72,175.26,145,0,9,0,6.42,0.56,0.3,1.77,0.34,9,0,28,2,0,1,5,3,0,0,9,Orthodox,167.64,180.34,145,32,30,0,-8,-3,-2,1,-3,-1,0,3,5.08,-5.08,-2,-2.27,0.9,-0.9,1,1,2,0,,,,,,,,,,0,,,4,,,,,,,,,,2,,,,Red,U-DEC,,5,5:00,1500,140,500,1600,400,250,175,4885
Valentina Shevchenko,Lauren Murphy,-1375,800,7.272727273,800,9/25/2021,"Las Vegas, Nevada, USA",USA,Red,TRUE,Women's Flyweight,FEMALE,5,0,5,0,3.58,0.38,0.1,1.03,0.34,5,4,32,0,0,3,1,2,1,0,7,Orthodox,165.1,170.18,125,0,7,0,3.21,0.52,0.3,2.62,0.64,7,2,42,7,0,1,4,3,2,0,10,Southpaw,165.1,167.64,125,33,38,0,-2,-2,-3,2,-10,-7,-1,-1,0,2.54,5,0.37,-0.2,-1.59,1,1,3,0,0,,,,,,,,,,,,2,3,,,,,,,,,,,,13,Red,KO/TKO,Punches,4,4:00,1140,200,1800,350,2800,-110,175,4884
Nick Diaz,Robbie Lawler,140,-160,140,62.5,9/25/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,4,0,0,3.73,0.46,0,0.66,0.64,5,14,91,5,0,3,4,12,0,0,19,Southpaw,180.34,187.96,170,2,0,0,5.71,0.42,1,1.28,0.32,11,7,70,2,0,1,2,10,6,0,19,Southpaw,185.42,193.04,170,38,39,2,0,-6,0,7,21,3,2,-6,-5.08,-5.08,1,-1.98,-1,-0.62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3,0:44,644,275,225,800,2500,650,175,4883
Curtis Blaydes,Jairzinho Rozenstruik,-380,290,26.31578947,290,9/25/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,1,0,2.8,0.46,0,0,0,4,2,18,0,0,0,0,6,0,0,6,Orthodox,187.96,198.12,242,1,0,0,3.44,0.51,0,6.27,0.53,5,3,32,0,0,0,4,5,0,0,9,Orthodox,193.04,203.2,265,30,33,-1,1,-1,-3,-1,-14,0,1,0,-5.08,-5.08,3,-0.64,0,-6.27,1,1,6,4,,,,,4,,,,,,,,,,,,,6,,,,,,,,,Red,U-DEC,,3,5:00,900,180,1000,1000,3500,125,175,4882
Jessica Andrade,Cynthia Calvillo,-220,180,45.45454545,180,9/25/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,1,0,1,4.24,0.41,1.1,1.77,0.44,3,2,25,0,0,0,3,0,3,0,6,Orthodox,162.56,162.56,125,1,0,0,6.24,0.5,0.4,2.9,0.55,4,7,42,4,0,1,5,4,2,0,12,Orthodox,154.94,157.48,125,30,34,0,0,-1,-6,-5,-17,-4,-4,1,7.62,5.08,4,-2,0.7,-1.13,1,1,5,1,1,,,,,,,,,,,,6,5,,,,,,,,,,,,,Red,KO/TKO,Punches,1,4:54,294,140,330,1000,900,225,175,4881
Marlon Moraes,Merab Dvalishvili,245,-310,245,32.25806452,9/25/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,0,6,0,4.26,0.41,0.3,7.3,0.45,6,2,24,0,0,0,6,0,0,0,6,Orthodox,167.64,172.72,135,2,0,0,3.34,0.4,0.4,0.89,0.41,4,4,18,1,0,2,0,2,1,0,5,Orthodox,167.64,170.18,135,33,30,-2,6,2,1,-2,6,-1,-2,-1,0,2.54,-3,0.92,-0.1,6.41,1,1,11,6,,,,,,,,,,,6,,,,,,,,,,,,,11,,,Red,KO/TKO,Punches,2,4:25,565,500,100,1200,550,600,175,4880
Dan Hooker,Nasrat Haqparast,-150,130,66.66666667,130,9/25/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,0,2,0,5.19,0.46,0,0.16,0.14,3,2,18,0,0,0,4,1,0,0,5,Southpaw,177.8,182.88,155,2,0,0,4.95,0.48,0.2,0.91,0.36,4,6,38,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,31,26,-2,2,-1,-5,-4,-20,0,-5,-2,-5.08,-7.62,-5,0.24,-0.2,-0.75,1,1,,8,,,,,,,,,8,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,225,350,900,2200,225,175,4879
Shamil Abdurakhimov,Chris Daukaus,180,-220,180,45.45454545,9/25/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,0,3,0,9.03,0.53,0,0,0,3,0,3,0,0,0,0,3,0,0,3,Orthodox,190.5,193.04,250,1,0,0,2.53,0.43,0.2,1.14,0.24,3,3,19,0,0,1,2,2,0,0,5,Orthodox,190.5,193.04,235,40,32,-1,3,0,-2,-3,-16,0,1,0,0,0,-8,6.5,-0.2,-1.14,1,1,10,7,,,,,7,,,,,,,,,,,,,10,,,,,,,,,Red,KO/TKO,Punch,2,1:23,383,400,350,1800,1400,450,175,4878
Roxanne Modafferi,Taila Santos,300,-400,300,25,9/25/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,2,0,3.55,0.5,0.8,2.6,0.86,2,1,12,0,0,0,3,0,0,0,3,Orthodox,167.64,172.72,125,1,0,0,2.97,0.3,0.1,1.3,0.21,1,8,35,1,0,1,2,1,0,0,4,Orthodox,170.18,175.26,125,39,28,-1,2,1,-1,-7,-23,-1,-1,0,-2.54,-2.54,-11,0.58,0.7,1.3,1,1,12,9,9,,,,,,,,,,,,,12,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,550,-165,1100,1100,2200,175,4877
Uros Medic,Jalin Turner,-115,-105,86.95652174,95.23809524,9/25/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,2,0,6.2,0.47,1.9,0.98,0.75,2,2,10,0,0,0,0,3,1,0,4,Southpaw,190.5,195.58,155,0,2,0,10.53,0.75,0,0,0,2,0,2,0,0,0,0,2,0,0,2,Southpaw,185.42,180.34,155,28,26,0,0,0,2,2,8,0,1,1,5.08,15.24,-2,-4.33,1.9,0.98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,4:01,241,400,400,1200,700,165,175,4876
Cody Brundage,Nick Maximov,125,-145,125,68.96551724,9/25/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,1.7,0.49,0,3,0.3,1,0,3,0,0,0,1,0,0,0,1,Southpaw,182.88,193.04,185,1,0,0,2.7,0.61,0.9,0.86,0.25,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,27,23,-1,1,1,1,-1,2,0,0,0,0,10.16,-4,-1,-0.9,2.14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,350,300,500,250,400,175,4875
Matthew Semelsberger,Martin Sano,-525,385,19.04761905,385,9/25/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,0,0,4,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,170,1,0,0,6.16,0.48,0.5,0.98,1,2,1,7,0,0,0,1,1,0,0,2,Switch,185.42,190.5,170,28,30,-1,0,-2,-2,-1,-7,0,-1,0,-5.08,0,2,-2.16,-0.5,-0.98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,0:15,15,300,,500,,-135,,4874
Jonathan Pearce,Omar Morales,140,-160,140,62.5,9/25/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,1,0,3.4,0.38,0,0.6,1,3,1,14,0,0,0,3,1,0,0,4,Orthodox,180.34,185.42,145,0,1,0,6.79,0.53,1,7.17,0.57,1,1,6,0,0,0,0,2,0,0,2,Switch,182.88,180.34,145,29,35,0,0,2,2,0,8,0,-1,0,-2.54,5.08,6,-3.39,-1,-6.57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,3:31,511,330,165,1100,1100,400,330,4873
Anthony Smith,Ryan Spann,-150,130,66.66666667,130,9/18/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,5,0,1,0,3.43,0.44,1.6,1.58,0.38,5,2,13,0,0,1,1,2,2,0,6,Orthodox,195.58,200.66,205,0,2,0,3.03,0.47,0.8,0.46,0.28,3,8,47,1,0,0,1,7,4,0,12,Orthodox,193.04,193.04,205,33,30,0,-1,2,-6,-6,-34,-1,-5,-2,2.54,7.62,-3,0.4,0.8,1.12,1,1,11,6,,,,,,6,,,,,,,,,,,,,11,,,,,,,,Red,SUB,Rear Naked Choke,1,3:47,227,450,750,330,500,225,330,4872
Ion Cutelaba,Devin Clark,-170,150,58.82352941,150,9/18/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,3.13,0.56,0.1,2.51,0.34,2,5,25,0,0,0,6,0,0,0,6,Orthodox,182.88,190.5,205,2,0,1,4.91,0.42,0,4.39,0.6,2,5,19,0,0,0,1,3,0,0,4,Southpaw,185.42,190.5,205,27,31,-1,0,0,2,0,6,0,-3,0,-2.54,0,4,-1.78,0.1,-1.88,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,600,250,1800,1400,-110,650,4871
Ariane Lipski,Mandy Bohm,-125,105,80,105,9/18/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,0,0,2.4,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,125,2,0,0,3.33,0.36,0.4,0.19,0.2,2,4,14,0,0,0,1,0,1,0,2,Orthodox,167.64,170.18,125,27,32,-2,0,-2,-2,-4,-14,0,0,-1,2.54,10.16,5,-0.93,-0.4,-0.19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,215,180,500,1100,400,800,4870
Arman Tsarukyan,Christos Giagos,-850,575,11.76470588,575,9/18/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,0,2,0,2.88,0.41,0.5,3.31,0.41,2,4,21,0,0,0,3,0,2,0,5,Orthodox,177.8,180.34,155,0,3,0,3.59,0.46,0,3.38,0.34,3,1,12,0,0,0,3,0,0,0,3,Orthodox,170.18,182.88,155,24,31,0,-1,-1,2,3,9,0,0,2,7.62,-2.54,7,-0.71,0.5,-0.07,1,1,,14,,,,,,,,,14,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,1,2:09,129,-135,900,350,2800,330,2200,4869
Nate Maness,Tony Gravely,170,-200,170,50,9/18/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,4.14,0.54,0.6,5.57,0.48,2,1,11,0,0,1,0,2,0,0,3,Orthodox,165.1,175.26,135,0,2,0,2.87,0.46,0.5,1.52,0.75,2,0,5,0,0,0,1,0,1,0,2,Orthodox,177.8,182.88,135,30,29,0,0,0,1,1,6,0,2,-1,-12.7,-7.62,-1,1.27,0.1,4.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,2:10,430,330,140,800,700,1000,330,4868
Joaquin Buckley,Antonio Arroyo,-180,155,55.55555556,155,9/18/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,2,0,0,2.82,0.66,0.2,1.14,0.41,2,2,11,0,0,0,1,0,1,0,2,Orthodox,190.5,185.42,185,1,0,0,4.16,0.37,0,0.8,0.16,2,2,8,0,0,0,0,2,0,0,2,Southpaw,177.8,193.04,185,27,32,1,0,0,0,0,3,0,-2,1,12.7,-7.62,5,-1.34,0.2,0.34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3,2:26,746,380,600,1800,500,110,450,4867
Mike Rodriguez,Tafon Nchukwi,105,-125,105,80,9/18/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Light Heavyweight,MALE,3,1,0,0,6.56,0.53,0,1.15,0.57,2,1,8,0,0,0,1,1,0,0,2,Orthodox,182.88,195.58,205,2,0,0,4.35,0.53,0,0,0,1,4,15,0,0,0,0,3,0,0,3,Southpaw,193.04,208.28,205,32,26,-1,0,1,-1,-3,-7,0,-2,0,-10.16,-12.7,-6,2.21,0,1.15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,275,400,1600,1600,300,165,4866
Pannie Kianzad,Raquel Pennington,115,-135,115,74.07407407,9/18/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,0,1,0,3.59,0.49,0.7,1.11,0.28,4,5,38,1,0,2,4,0,2,0,8,Orthodox,170.18,170.18,135,0,4,0,5.34,0.49,0.1,0.31,0.22,4,2,17,0,0,0,4,0,0,0,4,Orthodox,170.18,167.64,135,29,33,0,-3,0,4,3,21,1,0,2,0,2.54,4,-1.75,0.6,0.8,1,1,,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,175,110,1600,850,800,1200,4865
Rong Zhu,Brandon Jenkins,,195,,195,9/18/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,0,0,0,2.81,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,180.34,155,1,0,0,4.33,0.53,0,4.56,0.75,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,21,29,-1,0,0,0,-1,-3,0,0,0,7.62,0,8,-1.52,0,-4.56,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3,4:35,875,,500,,1600,,450,4864
Montel Jackson,JP Buys,-630,450,15.87301587,450,9/18/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,1.76,0.43,2.5,1.7,0.3,1,2,5,0,0,0,0,0,1,0,1,Orthodox,165.1,170.18,135,0,1,0,3.42,0.55,0.3,4.13,0.78,3,2,17,0,0,0,2,2,1,0,5,Southpaw,177.8,190.5,135,29,25,1,-1,-2,-4,0,-12,0,-2,0,-12.7,-20.32,-4,-1.66,2.2,-2.43,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,215,800,400,1600,100,1800,4863
Erin Blanchfield,Sarah Alpar,-435,330,22.98850575,330,9/18/2021,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,1,0,0,2.36,0.44,0.4,1.61,0.26,1,1,5,0,0,0,0,0,1,0,1,Southpaw,162.56,160.02,135,0,0,0,8,0.57,0,3,1,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,167.64,135,22,30,1,0,1,1,1,5,0,0,1,0,-7.62,8,-5.64,0.4,-1.39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,100,500,450,1400,330,1600,4862
Impa Kasanganay,Carlston Harris,-105,-115,95.23809524,86.95652174,9/18/2021,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,0,1,0,5.27,0.49,2.7,0,0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,182.88,193.04,170,0,1,0,4.96,0.48,0.2,1.75,0.58,3,1,13,0,0,0,3,0,1,0,4,Orthodox,180.34,190.5,170,27,34,0,0,-2,-3,-1,-12,0,0,0,2.54,2.54,7,0.31,2.5,-1.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,2:38,158,175,400,1100,250,450,600,4861
